,emotion,min,max,median,mean
0,negative_emotion,0.0,0.25,0.0,0.012428841418685851
1,war,0.0,0.3333333333333333,0.0,0.0078759764952374
2,crime,0.0,0.25,0.0,0.006968388697997543
3,speaking,0.0,0.5,0.0,0.006182815986378162
4,fight,0.0,0.3333333333333333,0.0,0.006111561446917353
5,death,0.0,0.25,0.0,0.005635379125062239
6,kill,0.0,0.3333333333333333,0.0,0.005610746956876667
7,positive_emotion,0.0,0.25,0.0,0.005449551784257461
8,violence,0.0,0.25,0.0,0.005425179455771277
9,communication,0.0,0.5,0.0,0.005308472307297249
