,emotion,min,max,median,mean
0,crime,0.0,0.0483870967741935,0.01033674339300935,0.014462714445028784
1,negative_emotion,0.0,0.0483870967741935,0.00476190476190475,0.011839596039500907
2,war,0.0,0.0392156862745098,0.0066693344004268,0.010370421276181305
3,death,0.0,0.0833333333333333,0.0,0.00946335427795612
4,weapon,0.0,0.0588235294117647,0.0,0.00927922733661067
5,children,0.0,0.125,0.0,0.00923136727809403
6,kill,0.0,0.0476190476190476,0.0068496364062866,0.0092048966514599
7,fight,0.0,0.0588235294117647,0.0,0.00881524517683497
8,speaking,0.0,0.0833333333333333,0.0,0.008671308848132187
9,law,0.0,0.0555555555555555,0.0,0.00812240300473899
