,emotion,min,max,median,mean
0,weapon,0.0,0.1428571428571428,0.0,0.017163929792100317
1,speaking,0.0,0.036697247706422,0.019419306184012053,0.01665004510390369
2,war,0.0,0.0588235294117647,0.0,0.015336262945545182
3,communication,0.0,0.0285714285714285,0.0187896965419901,0.014815182718582589
4,fight,0.0,0.0476190476190476,0.00458715596330275,0.01374009872121042
5,negative_emotion,0.0,0.0476190476190476,0.0,0.01185089420383537
6,crime,0.0,0.0476190476190476,0.0,0.010497263125433651
7,death,0.0,0.0476190476190476,0.0,0.0095798319327731
8,reading,0.0,0.0285714285714285,0.00458715596330275,0.00937286464809399
9,government,0.0,0.0285714285714285,0.0,0.00856089883612818
